Neighborhood,Arrests,Parking,Playgrounds
Garfield,500,0,2
Northview Heights,492,0,0
Perry North,474,0,1
Bedford Dwellings,438,0,1
Elliott,431,0,3
Highland Park,380,0,4
Beltzhoover,369,0,4
Crafton Heights,368,0,2
Central Oakland,367,54,1
Manchester,349,0,2
Greenfield,341,0,2
Strip District,336,0,1
Central Lawrenceville,319,5,1
Chateau,313,0,0
Troy Hill,297,0,2
North Oakland,272,54,0
Upper Hill,257,0,1
Point Breeze,238,0,0
South Oakland,220,54,3
West Oakland,215,54,1
Arlington,199,0,0
Overbrook,197,0,0
California-Kirkbride,197,0,0
South Shore,196,0,0
West End,190,0,1
Squirrel Hill North,185,35,1
Banksville,184,0,1
Lower Lawrenceville,181,5,1
Terrace Village,179,0,1
Point Breeze North,177,0,1
Spring Garden,176,0,1
Stanton Heights,160,0,1
Bon Air,157,0,1
Westwood,150,0,1
Morningside,137,0,2
Upper Lawrenceville,135,5,3
Lincoln Place,129,0,2
Duquesne Heights,128,0,1
Friendship,122,0,0
Esplen,121,0,1
Polish Hill,114,0,1
Arlington Heights,109,0,0
Mount Oliver,96,0,0
Glen Hazel,90,0,0
Allegheny West,85,0,0
Golden Triangle/Civic Area,83,0,0
Windgap,76,0,1
Hays,75,0,1
Fairywood,74,0,1
Summer Hill,58,0,0
Oakwood,54,0,1
East Carnegie,36,0,1
St. Clair,35,0,0
Chartiers City,28,0,0
Swisshelm Park,27,0,1
New Homestead,26,0,1
Ridgemont,24,0,0
Central Northside,23,84,2
Regent Square,22,0,1
Mt. Oliver Boro,16,0,0
Troy Hill-Herrs Island,6,0,0
Mt. Oliver Neighborhood,2,0,0
